Plate ID	Well 	Sample ID	User ID	Date 	Time 	Conc. 	Units 	A260 	A280 	260/280 	260/230 	Conc. Factor (ng/ul)	Cursor Pos.	Cursor abs.	340 raw	NA Type
	A1	MID1	Default	8/2/2022	4:52 PM	17.11	ng/ul	0.342	0.198	1.73	0.92	50.00	260	0.337	0.110	DNA-50
	B1	MID2	Default	8/2/2022	4:52 PM	19.83	ng/ul	0.397	0.178	2.23	0.58	50.00	260	0.394	0.020	DNA-50
	C1	MID3	Default	8/2/2022	4:52 PM	28.84	ng/ul	0.577	0.248	2.33	0.30	50.00	260	0.570	0.016	DNA-50
	D1	MIS1	Default	8/2/2022	4:52 PM	120.7	ng/ul	2.414	1.622	1.49	0.63	50.00	260	2.397	4.554	DNA-50
	E1	MIS2	Default	8/2/2022	4:52 PM	11.48	ng/ul	0.230	0.080	2.86	0.32	50.00	260	0.229	0.082	DNA-50
	F1	MIS3	Default	8/2/2022	4:52 PM	12.69	ng/ul	0.254	0.117	2.16	0.45	50.00	260	0.251	0.081	DNA-50
	G1	MIFIE	Default	8/2/2022	4:52 PM	21.57	ng/ul	0.431	0.264	1.63	0.47	50.00	260	0.431	0.579	DNA-50
	H1	MIFIL	Default	8/2/2022	4:52 PM	20.97	ng/ul	0.419	0.284	1.48	0.47	50.00	260	0.415	0.413	DNA-50
	A2	SKS1	Default	8/2/2022	4:56 PM	9.566	ng/ul	0.191	0.091	2.10	0.20	50.00	260	0.185	0.084	DNA-50
	B2	SKS2	Default	8/2/2022	4:56 PM	3.709	ng/ul	0.074	0.038	1.94	0.38	50.00	260	0.074	0.020	DNA-50
	C2	SKS3	Default	8/2/2022	4:56 PM	6.014	ng/ul	0.120	0.074	1.62	0.49	50.00	260	0.118	0.003	DNA-50
	D2	SKFIL	Default	8/2/2022	4:56 PM	2.700	ng/ul	0.054	0.024	2.22	0.13	50.00	260	0.052	-0.018	DNA-50
	E2	SKFIE	Default	8/2/2022	4:56 PM	10.80	ng/ul	0.216	0.158	1.36	1.12	50.00	260	0.215	0.400	DNA-50
	F2	S2D1	Default	8/2/2022	4:56 PM	5.622	ng/ul	0.112	0.062	1.81	-1.89	50.00	260	0.112	0.009	DNA-50
	G2	S2D2	Default	8/2/2022	4:56 PM	13.33	ng/ul	0.267	0.135	1.97	0.76	50.00	260	0.268	0.004	DNA-50
	H2	S2D3	Default	8/2/2022	4:56 PM	9.879	ng/ul	0.198	0.093	2.11	0.48	50.00	260	0.195	0.018	DNA-50
	A3	S2DFIL	Default	8/2/2022	4:58 PM	15.18	ng/ul	0.304	0.094	3.24	0.11	50.00	260	0.294	0.037	DNA-50
	B3	S2DFIE	Default	8/2/2022	4:58 PM	3.996	ng/ul	0.080	-0.003	-27.32	0.09	50.00	260	0.076	2.784	DNA-50
	C3	EXT	Default	8/2/2022	4:58 PM	6.369	ng/ul	0.127	0.043	2.98	0.14	50.00	260	0.123	-0.015	DNA-50
	D3	MIFIL	Default	8/2/2022	5:15 PM	8.140	ng/ul	0.163	0.079	2.06	0.38	50.00	260	0.161	0.269	DNA-50
	E3	S2DFIL	Default	8/2/2022	5:15 PM	13.28	ng/ul	0.266	0.090	2.95	0.13	50.00	260	0.261	0.071	DNA-50
