Plate ID	Well 	Sample ID	User ID	Date 	Time 	Conc. 	Units 	A260 	A280 	260/280 	260/230 	Conc. Factor (ng/ul)	Cursor Pos.	Cursor abs.	340 raw	NA Type
	A1	AW S1	Default	6/15/2022	4:37 PM	10.31	ng/ul	0.206	0.090	2.29	0.50	50.00	260	0.207	0.047	DNA-50
	B1	YO S2	Default	6/15/2022	4:37 PM	13.40	ng/ul	0.268	0.103	2.59	0.56	50.00	260	0.265	0.029	DNA-50
	C1	AW FIL	Default	6/15/2022	4:37 PM	-1.338	ng/ul	-0.027	-0.030	0.88	0.72	50.00	260	-0.029	-0.186	DNA-50
	D1	YO D2	Default	6/15/2022	4:37 PM	3.414	ng/ul	0.068	0.039	1.74	0.81	50.00	260	0.067	-0.019	DNA-50
	E1	ZAYOFIE	Default	6/15/2022	4:37 PM	0.6906	ng/ul	0.014	0.001	9.85	0.14	50.00	260	0.013	0.055	DNA-50
	F1	AWD2	Default	6/15/2022	4:37 PM	6.840	ng/ul	0.137	0.054	2.52	4.02	50.00	260	0.135	0.076	DNA-50
	G1	ZAYOFIL	Default	6/15/2022	4:37 PM	0.4410	ng/ul	0.009	-0.014	-0.61	-0.07	50.00	260	0.008	0.064	DNA-50
	H1	AWS2	Default	6/15/2022	4:37 PM	9.534	ng/ul	0.191	0.085	2.24	10.82	50.00	260	0.190	0.008	DNA-50
	A2	ZAD3	Default	6/15/2022	4:45 PM	5.202	ng/ul	0.104	-0.004	-25.90	0.13	50.00	260	0.104	1.172	DNA-50
	B2	ZAD2	Default	6/15/2022	4:45 PM	15.52	ng/ul	0.310	0.127	2.45	0.51	50.00	260	0.307	0.072	DNA-50
	C2	YOS3	Default	6/15/2022	4:45 PM	7.734	ng/ul	0.155	0.068	2.28	0.38	50.00	260	0.154	0.014	DNA-50
	D2	AWS3	Default	6/15/2022	4:45 PM	102.1	ng/ul	2.042	1.438	1.42	0.67	50.00	260	2.029	7.178	DNA-50
	E2	ZAS3	Default	6/15/2022	4:45 PM	13.05	ng/ul	0.261	0.118	2.21	0.30	50.00	260	0.258	0.034	DNA-50
	F2	AWFIE	Default	6/15/2022	4:45 PM	-0.1390	ng/ul	-0.003	-0.014	0.20	-0.03	50.00	260	-0.003	0.059	DNA-50
	G2	AWD1	Default	6/15/2022	4:45 PM	6.465	ng/ul	0.129	0.064	2.02	7.64	50.00	260	0.128	0.039	DNA-50
	H2	ZAS2	Default	6/15/2022	4:45 PM	7.390	ng/ul	0.148	0.069	2.13	3.40	50.00	260	0.148	-0.003	DNA-50
	A3	YOS1	Default	6/15/2022	4:52 PM	7.301	ng/ul	0.146	0.068	2.14	0.79	50.00	260	0.146	0.043	DNA-50
	B3	YOD3	Default	6/15/2022	4:52 PM	7.806	ng/ul	0.156	0.073	2.13	0.55	50.00	260	0.154	-0.005	DNA-50
	C3	AWD3	Default	6/15/2022	4:52 PM	7.982	ng/ul	0.160	0.087	1.83	0.63	50.00	260	0.160	0.019	DNA-50
	D3	EXT	Default	6/15/2022	4:52 PM	0.1303	ng/ul	0.003	0.001	2.27	0.03	50.00	260	0.003	0.021	DNA-50
	E3	ZAD1	Default	6/15/2022	4:52 PM	-1.520	ng/ul	-0.030	-0.007	4.22	0.07	50.00	260	-0.030	0.121	DNA-50
	F3	ZAS1	Default	6/15/2022	4:52 PM	5.023	ng/ul	0.100	0.038	2.63	2.14	50.00	260	0.100	0.076	DNA-50
	A4	EXT	Default	6/15/2022	5:05 PM	1.874	ng/ul	0.037	0.030	1.27	0.51	50.00	260	0.036	-0.035	DNA-50
	B4	ZA D1	Default	6/15/2022	5:05 PM	19.06	ng/ul	0.381	0.203	1.87	0.98	50.00	260	0.379	0.099	DNA-50
	C4	ZA S1	Default	6/15/2022	5:05 PM	5.858	ng/ul	0.117	0.058	2.00	3.00	50.00	260	0.117	-0.043	DNA-50
