PERMDISP
Distance-based test for homogeneity of multivariate dispersions

Resemblance worksheet
Name: edna_res_matrix
Data type: Similarity
Selection: All
Resemblance: S7 Jaccard (+d)

Group factor: Site_depth
Number of permutations: 9999

Number of groups: 23
Number of samples: 67

DEVIATIONS FROM CENTROID
F: 13.235  df1: 22  df2: 44
P(perm): 0.0002

PAIRWISE COMPARISONS
Groups	       t	P(perm)				
(Yonama_shallow,Sunabe_deep)	 0.60432	 0.6978				
(Yonama_shallow,Sukuta_shallow)	   10.06	 0.3036				
(Yonama_shallow,Sakubaru2_shallow)	 No test	       				
(Yonama_shallow,Sakubaru2_deep)	   8.807	 0.0961				
(Yonama_shallow,Sakubaru1_shallow)	  6.0788	 0.0941				
(Yonama_shallow,Sakubaru1_deep)	  10.525	 0.3036				
(Yonama_shallow,Mizugama_shallow)	  3.6805	 0.0962				
(Yonama_shallow,Mizugama_deep)	   6.125	 0.0947				
(Yonama_shallow,Hizushi_shallow)	  10.993	  0.101				
(Yonama_shallow,Hizushi_deep)	  15.783	 0.1018				
(Yonama_shallow,GinowanPort2_shallow)	  13.435	 0.1049				
(Yonama_shallow,GinowanPort2_deep)	  6.4504	 0.1058				
(Yonama_shallow,GinowanPort1_shallow)	  4.6695	  0.095				
(Yonama_shallow,GinowanPort1_deep)	  4.6907	 0.0982				
(Yonama_shallow,Awa_shallow)	  4.2051	 0.1001				
(Yonama_shallow,Awa_deep)	  3.1018	 0.1031				
(Yonama_deep,Sunabe_shallow)	  2.9193	 0.1022				
(Yonama_deep,Sunabe_deep)	  1.1187	 0.3887				
(Yonama_deep,Sukuta_shallow)	  7.5826	 0.1009				
(Yonama_deep,Sakubaru2_shallow)	  1.2109	 0.7003				
(Yonama_deep,Sakubaru2_deep)	  3.8221	 0.1018				
(Yonama_deep,Sakubaru1_shallow)	  2.5464	 0.1028				
(Yonama_deep,Sakubaru1_deep)	  6.3052	 0.1021				
(Yonama_deep,Mizugama_shallow)	  1.5465	 0.0991				
(Yonama_deep,Mizugama_deep)	0.022887	      1				
(Yonama_deep,Hizushi_shallow)	  4.8632	 0.0989				
(Yonama_deep,Hizushi_deep)	  5.8936	 0.0994				
(Yonama_deep,GinowanPort2_shallow)	  3.1131	 0.1014				
(Yonama_deep,GinowanPort2_deep)	  3.7245	 0.1016				
(Yonama_deep,GinowanPort1_shallow)	  2.4749	 0.1015				
(Yonama_deep,GinowanPort1_deep)	  1.2468	 0.1941				
(Yonama_deep,Awa_shallow)	 0.81571	 0.1969				
(Yonama_deep,Awa_deep)	 0.66534	  0.401				
(Sunabe_shallow,Sunabe_deep)	  2.7076	 0.1021				
(Sunabe_shallow,Sukuta_shallow)	  7.3453	 0.1016				
(Sunabe_shallow,Sakubaru2_shallow)	  10.937	 0.1023				
(Sunabe_shallow,Sakubaru2_deep)	   2.435	 0.1041				
(Sunabe_shallow,Sakubaru1_shallow)	 0.63246	 0.2922				
(Sunabe_shallow,Sakubaru1_deep)	   6.062	 0.1021				
(Sunabe_shallow,Mizugama_shallow)	 0.16945	      1				
(Sunabe_shallow,Mizugama_deep)	  5.5097	 0.0972				
(Sunabe_shallow,Hizushi_shallow)	  4.2364	 0.1016				
(Sunabe_shallow,Hizushi_deep)	  6.9594	 0.0997				
(Sunabe_shallow,GinowanPort2_shallow)	   1.034	 0.0991				
(Sunabe_shallow,GinowanPort2_deep)	  2.3892	 0.0998				
(Sunabe_shallow,GinowanPort1_shallow)	 0.92367	 0.0977				
(Sunabe_shallow,GinowanPort1_deep)	  1.2526	 0.0939				
(Sunabe_shallow,Awa_shallow)	  1.8707	 0.1041				
(Sunabe_shallow,Awa_deep)	  4.6734	 0.0981				
(Sunabe_deep,Sukuta_shallow)	  6.1902	 0.0996				
(Sunabe_deep,Sakubaru2_shallow)	  1.5713	 0.5967				
(Sunabe_deep,Sakubaru2_deep)	  3.4187	 0.0997				
(Sunabe_deep,Sakubaru1_shallow)	  2.7169	 0.0962				
(Sunabe_deep,Sakubaru1_deep)	   5.031	 0.1021				
(Sunabe_deep,Mizugama_shallow)	  2.1127	 0.1987				
(Sunabe_deep,Mizugama_deep)	  1.2225	 0.3924				
(Sunabe_deep,Hizushi_shallow)	   3.977	 0.0966				
(Sunabe_deep,Hizushi_deep)	  4.4185	 0.1001				
(Sunabe_deep,GinowanPort2_shallow)	  2.8727	 0.1055				
(Sunabe_deep,GinowanPort2_deep)	  3.5521	 0.1028				
(Sunabe_deep,GinowanPort1_shallow)	  2.7601	 0.1045				
(Sunabe_deep,GinowanPort1_deep)	  1.9042	 0.3924				
(Sunabe_deep,Awa_shallow)	  1.6357	 0.3998				
(Sunabe_deep,Awa_deep)	 0.76532	 0.4996				
(Sukuta_shallow,Sakubaru2_shallow)	  6.5576	 0.0996				
(Sukuta_shallow,Sakubaru2_deep)	  4.9245	 0.0965				
(Sukuta_shallow,Sakubaru1_shallow)	  5.4207	 0.1038				
(Sukuta_shallow,Sakubaru1_deep)	  2.2371	 0.1024				
(Sukuta_shallow,Mizugama_shallow)	  4.9815	 0.0991				
(Sukuta_shallow,Mizugama_deep)	  8.9551	 0.1002				
(Sukuta_shallow,Hizushi_shallow)	  4.3011	 0.0989				
(Sukuta_shallow,Hizushi_deep)	  4.0321	 0.1057				
(Sukuta_shallow,GinowanPort2_shallow)	  6.6186	 0.0918				
(Sukuta_shallow,GinowanPort2_deep)	  3.6987	 0.0998				
(Sukuta_shallow,GinowanPort1_shallow)	  4.2668	 0.0979				
(Sukuta_shallow,GinowanPort1_deep)	  6.6093	 0.0954				
(Sukuta_shallow,Awa_shallow)	  6.9866	 0.1014				
(Sukuta_shallow,Awa_deep)	  8.7428	 0.0957				
(Sakubaru2_shallow,Sakubaru2_deep)	  3.2503	 0.1008				
(Sakubaru2_shallow,Sakubaru1_shallow)	  1.5842	 0.5967				
(Sakubaru2_shallow,Sakubaru1_deep)	  5.8552	 0.0992				
(Sakubaru2_shallow,Mizugama_shallow)	 0.61349	 0.8093				
(Sakubaru2_shallow,Mizugama_deep)	  2.2961	 0.2979				
(Sakubaru2_shallow,Hizushi_shallow)	  4.8134	 0.0991				
(Sakubaru2_shallow,Hizushi_deep)	  7.4948	 0.1023				
