ID,CapeZanpa_shallow_seawater_3,CapeZanpa_shallow_seawater_2,CapeZanpa_shallow_seawater_1,CapeZanpa_deep_seawater_3,CapeZanpa_deep_seawater_2,CapeZanpa_deep_seawater_1,Zatsun_shallow_seawater_3,Zatsun_shallow_seawater_2,Zatsun_shallow_seawater_1,Zatsun_deep_seawater_3,Zatsun_deep_seawater_2,Zatsun_deep_seawater_1,Yonama_shallow_seawater_3,Yonama_shallow_seawater_2,Yonama_deep_seawater_1,Yonama_deep_seawater_3,Yonama_deep_seawater_2,Sunabe_shallow_seawater_3,Sunabe_shallow_seawater_2,Sunabe_shallow_seawater_1,Sunabe_deep_seawater_3,Sunabe_deep_seawater_2,Sunabe_deep_seawater_1,Sukuta_shallow_seawater_3,Sukuta_shallow_seawater_2,Sukuta_shallow_seawater_1,Sakubaru2_shallow_seawater_3,Sakubaru2_shallow_seawater_1,Sakubaru2_deep_seawater_3,Sakubaru2_deep_seawater_2,Sakubaru2_deep_seawater_1,Sakubaru1_shallow_seawater_3,Sakubaru1_shallow_seawater_2,Sakubaru1_shallow_seawater_1,Sakubaru1_deep_seawater_3,Sakubaru1_deep_seawater_2,Sakubaru1_deep_seawater_1,Mizugama_shallow_seawater_3,Mizugama_shallow_seawater_2,Mizugama_shallow_seawater_1,Mizugama_deep_seawater_3,Mizugama_deep_seawater_2,Mizugama_deep_seawater_1,Hizushi_shallow_seawater_3,Hizushi_shallow_seawater_2,Hizushi_shallow_seawater_1,Hizushi_deep_seawater_3,Hizushi_deep_seawater_2,Hizushi_deep_seawater_1,GinowanPort2_shallow_seawater_3,GinowanPort2_shallow_seawater_2,GinowanPort2_shallow_seawater_1,GinowanPort2_deep_seawater_3,GinowanPort2_deep_seawater_2,GinowanPort2_deep_seawater_1,GinowanPort1_shallow_seawater_3,GinowanPort1_shallow_seawater_2,GinowanPort1_shallow_seawater_1,GinowanPort1_deep_seawater_3,GinowanPort1_deep_seawater_2,GinowanPort1_deep_seawater_1,Awa_shallow_seawater_3,Awa_shallow_seawater_2,Awa_shallow_seawater_1,Awa_deep_seawater_3,Awa_deep_seawater_2,Awa_deep_seawater_1
ESV_1311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,15,15,6,34,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_387,0,0,0,6,0,0,10,9,0,0,0,0,17,0,0,0,0,195,113,108,188,257,132,0,0,0,0,0,12,0,0,0,0,0,0,0,0,25,37,31,87,91,49,5,0,0,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,37,98,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_759,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,51,33,18,65,88,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,11,35,34,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_1199,0,0,0,0,7,6,0,7,0,6,0,0,0,13,0,0,9,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,13,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_1332,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,0,10,10,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_1349,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,12,0,14,13,11,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_1370,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,17,14,20,15,15,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_327,12,0,8,9,0,0,58,35,10,14,33,16,43,34,31,31,39,91,79,77,113,124,100,0,0,0,16,9,28,42,20,22,31,8,21,24,12,32,58,25,79,75,34,42,58,21,23,32,35,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,16,14,19
ESV_470,22,11,6,24,19,14,56,36,18,32,12,10,35,55,17,22,47,21,45,12,34,36,37,0,0,0,8,0,13,0,0,14,0,7,0,0,0,12,10,16,29,34,9,7,12,9,22,13,16,0,0,0,0,0,0,0,0,0,0,10,0,0,24,0,22,28,12
ESV_685,25,9,12,14,12,0,18,9,0,15,16,10,23,25,14,0,11,13,20,11,22,33,17,0,0,0,0,0,7,0,0,0,0,0,0,0,0,8,9,10,9,43,11,0,6,0,7,0,7,0,0,0,7,0,0,8,0,0,0,0,0,0,0,0,12,9,11
ESV_783,0,6,0,0,0,0,16,0,0,0,0,5,13,17,9,10,11,16,11,21,27,50,21,0,11,0,0,0,0,0,0,0,10,0,0,0,0,9,12,10,16,32,6,9,12,6,8,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
ESV_786,0,0,0,0,7,0,19,11,9,8,7,7,13,17,7,10,8,19,18,12,16,29,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,28,23,13,8,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
ESV_824,8,8,0,0,0,8,21,29,0,23,0,13,0,0,9,0,0,20,20,10,31,21,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,6,14,25,5,13,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
ESV_932,0,0,5,10,7,6,26,0,0,0,7,0,0,19,0,0,11,0,7,0,0,9,10,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,24,21
ESV_1618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,11,11,8,9,0,0,8,9,7,0,0,0,0,0,0
